Date,Description,Solemnity,Holyday of Obligation,Feast
2026-05-31,The Most Holy Trinity,true,,
2026-06-01,Ninth Week in Ordinary Time,,,
2026-06-07,The Most Holy Body and Blood of Christ (Corpus Christi),true,,
2026-06-08,Tenth Week in Ordinary Time,,,
2026-06-12,The Most Sacred Heart of Jesus,true,,
2026-06-14,Eleventh Sunday in Ordinary Time,,,
2026-06-21,Twelfth Sunday in Ordinary Time,,,
2026-06-24,The Nativity of Saint John the Baptist,true,,
2026-06-28,Thirteenth Sunday in Ordinary Time,,,
2026-06-29,"Saints Peter and Paul, Apostles",true,,
2026-07-03,"Saint Thomas, Apostle",,,true
2026-07-05,Fourteenth Sunday in Ordinary Time,,,
2026-07-12,Fifteenth Sunday in Ordinary Time,,,
2026-07-19,Sixteenth Sunday in Ordinary Time,,,
2026-07-22,Saint Mary Magdalene,,,true
2026-07-25,"Saint James, Apostle",,,true
2026-07-26,Seventeenth Sunday in Ordinary Time,,,
2026-08-02,Eighteenth Sunday in Ordinary Time,,,
2026-08-06,The Transfiguration of the Lord,,,true
2026-08-09,Nineteenth Sunday in Ordinary Time,,,
2026-08-10,"Saint Lawrence, Deacon and Martyr",,,true
2026-08-15,The Assumption of the Blessed Virgin Mary,true,,
2026-08-16,Twentieth Sunday in Ordinary Time,,,
2026-08-23,Twenty-First Sunday in Ordinary Time,,,
2026-08-30,Twenty-Second Sunday in Ordinary Time,,,
2026-09-06,Twenty-Third Sunday in Ordinary Time,,,
2026-09-13,Twenty-Fourth Sunday in Ordinary Time,,,
2026-09-20,Twenty-Fifth Sunday in Ordinary Time,,,
2026-09-27,Twenty-Sixth Sunday in Ordinary Time,,,
2026-10-04,Twenty-Seventh Sunday in Ordinary Time,,,
2026-10-11,Twenty-Eighth Sunday in Ordinary Time,,,
2026-10-18,Twenty-Ninth Sunday in Ordinary Time,,,
2026-10-25,Thirtieth Sunday in Ordinary Time,,,
2026-11-01,All Saints,true,,
2026-11-02,The Commemoration of All the Faithful Departed (All Souls' Day),,,
2026-11-08,Thirty-Second Sunday in Ordinary Time,,,
2026-11-15,Thirty-Third Sunday in Ordinary Time,,,
2026-11-22,"Our Lord Jesus Christ, King of the Universe",true,,
2026-11-23,Last Week in Ordinary Time,,,
2026-11-29,First Sunday of Advent,,,
2026-12-06,Second Sunday of Advent,,,
2026-12-08,The Immaculate Conception of the Blessed Virgin Mary,true,true,
2026-12-13,Third Sunday of Advent,,,
2026-12-20,Fourth Sunday of Advent,,,
2026-12-25,The Nativity of the Lord (Christmas),true,true,
2026-12-26,"Saint Stephen, The First Martyr",,,true
2026-12-27,"The Holy Family of Jesus, Mary and Joseph",,,true
2027-01-01,"Solemnity of Mary, The Holy Mother of God",true,true,
2027-01-03,The Epiphany of the Lord,true,,
2027-01-10,The Baptism of the Lord,,,true
2027-01-17,Second Sunday in Ordinary Time,,,
2027-01-24,Third Sunday in Ordinary Time,,,
2027-01-31,Fourth Sunday in Ordinary Time,,,
2027-02-02,The Presentation of the Lord,,,true
2027-02-07,Fifth Sunday in Ordinary Time,,,
2027-02-10,Ash Wednesday,,,
2027-02-14,First Sunday of Lent,,,
2027-02-21,Second Sunday of Lent,,,
2027-02-22,The Chair of Saint Peter the Apostle,,,true
2027-02-28,Third Sunday of Lent,,,
2027-03-07,Fourth Sunday of Lent,,,
2027-03-14,Fifth Sunday of Lent,,,
2027-03-19,"Saint Joseph, Spouse of the Blessed Virgin Mary",true,,
2027-03-21,Palm Sunday of the Passion of the Lord,,,
2027-03-25,Thursday of Holy Week (Holy Thursday),,,
2027-03-26,Friday of the Passion of the Lord (Good Friday),,
2027-03-27,Holy Saturday,,,
2027-03-28,Easter Sunday of the Resurrection of the Lord,true,,
2027-04-04,Second Sunday of Easter (Or Sunday of Divine Mercy),,,
2027-04-05,The Annunciation of the Lord,true,,
2027-04-11,Third Sunday of Easter,,,
2027-04-18,Fourth Sunday of Easter,,,
2027-04-25,Fifth Sunday of Easter,,,
2027-05-02,Sixth Sunday of Easter,,,
2027-05-09,The Ascension of the Lord,true,,
2027-05-14,"Saint Matthias, Apostle",,,true
2027-05-16,Pentecost Sunday,true,,
2027-05-23,The Most Holy Trinity,true,,
2027-05-30,The Most Holy Body and Blood of Christ (Corpus Christi),true,,
2027-05-31,The Visitation of the Blessed Virgin Mary (Ninth Week in Ordinary Time),,,true
2027-06-04,The Most Sacred Heart of Jesus,true,,
2027-06-06,Tenth Sunday in Ordinary Time,,,
2027-06-13,Eleventh Sunday in Ordinary Time,,,
2027-06-20,Twelfth Sunday in Ordinary Time,,,
2027-06-24,The Nativity of Saint John the Baptist,true,,
2027-06-27,Thirteenth Sunday in Ordinary Time,,,
2027-06-29,"Saints Peter and Paul, Apostles",true,,
2027-07-03,"Saint Thomas, Apostle",,,true
2027-07-04,Fourteenth Sunday in Ordinary Time,,,
2027-07-11,Fifteenth Sunday in Ordinary Time,,,
2027-07-18,Sixteenth Sunday in Ordinary Time,,,
2027-07-22,Saint Mary Magdalene,,,true
2027-07-25,Seventeenth Sunday in Ordinary Time,,,
2027-08-01,Eighteenth Sunday in Ordinary Time,,,
2027-08-06,The Transfiguration of the Lord,,,true
2027-08-08,Nineteenth Sunday in Ordinary Time,,,
2027-08-10,"Saint Lawrence, Deacon and Martyr",,,true
2027-08-15,The Assumption of the Blessed Virgin Mary,true,,
2027-08-22,Twenty-First Sunday in Ordinary Time,,,
2027-08-24,"Saint Bartholomew, Apostle",,,true
2027-08-29,Twenty-Second Sunday in Ordinary Time,,,
2027-09-05,Twenty-Third Sunday in Ordinary Time,,,
2027-09-08,"The Nativity of the Blessed Virgin Mary",,,true
2027-09-12,Twenty-Fourth Sunday in Ordinary Time,,,
2027-09-14,The Exaltation of the Holy Cross,,,true
2027-09-19,Twenty-Fifth Sunday in Ordinary Time,,,
2027-09-21,"Saint Matthew, Apostle and Evangelist",,,true
2027-09-26,Twenty-Sixth Sunday in Ordinary Time,,,
2027-09-29,"Saints Michael, Gabriel and Raphael, Archangels",,,true
2027-10-03,Twenty-Seventh Sunday in Ordinary Time,,,
2027-10-10,Twenty-Eighth Sunday in Ordinary Time,,,
2027-10-17,Twenty-Ninth Sunday in Ordinary Time,,,
2027-10-18,"Saint Luke, Evangelist",,,true
2027-10-24,Thirtieth Sunday in Ordinary Time,,,
2027-10-28,"Saints Simon and Jude, Apostles",,,true
2027-10-31,Thirty-First Sunday in Ordinary Time,,,
2027-11-01,All Saints,true,,
2027-11-02,The Commemoration of All the Faithful Departed (All Souls' Day),,,
2027-11-07,Thirty-Second Sunday in Ordinary Time,,,
2027-11-09,The Dedication of the Lateran Basilica,,,true
2027-11-14,Thirty-Third Sunday in Ordinary Time,,,
2027-11-21,"Our Lord Jesus Christ, King of the Universe",true,,
2027-11-28,First Sunday of Advent,,,
2027-12-05,Second Sunday of Advent,,,
2027-12-08,The Immaculate Conception of the Blessed Virgin Mary,true,true,
2027-12-12,Third Sunday of Advent,,,
2027-12-19,Fourth Sunday of Advent,,,
2027-12-25,The Nativity of the Lord (Christmas),true,true,
2026-12-26,"The Holy Family of Jesus, Mary and Joseph",,,true
2027-12-27,"Saint John, Apostle and Evangelist",,,true
2027-12-28,"The Holy Innocents, Martyrs",,,true
